No,Judul,Kategori,Link,Scraped_At
1,"Sjafrie Temui Menteri Perang AS, Sepakat Tingkatkan Kerja Sama Pertahanan",-,https://news.detik.com/internasional/d-8442916/sjafrie-temui-menteri-perang-as-sepakat-tingkatkan-kerja-sama-pertahanan,2026-04-13 19:04:50
2,Trump Ancam Hancurkan Kapal-kapal Iran yang Dekati Blokade Selat Hormuz,-,https://news.detik.com/internasional/d-8442899/trump-ancam-hancurkan-kapal-kapal-iran-yang-dekati-blokade-selat-hormuz,2026-04-13 19:04:50
3,Klasemen Piala AFF U-17 2026: Indonesia di Puncak Grup A,-,https://sport.detik.com/sepakbola/liga-indonesia/d-8442844/klasemen-piala-aff-u-17-2026-indonesia-di-puncak-grup-a,2026-04-13 19:04:51
4,Viral SK Anggota Satpol PP Bogor Digadai Atasan ke Bank hingga Cicilan Macet,-,https://news.detik.com/berita/d-8442907/viral-sk-anggota-satpol-pp-bogor-digadai-atasan-ke-bank-hingga-cicilan-macet,2026-04-13 19:04:51
5,Rooney: Arsenal Perlu Main 'Kotor' Lawan Man City,-,https://sport.detik.com/sepakbola/liga-inggris/d-8442922/rooney-arsenal-perlu-main-kotor-lawan-man-city,2026-04-13 19:04:51
6,Jaksa Agung Copot Kajari Karo Danke Rajagukguk Buntut Kasus Amsal Sitepu,-,https://news.detik.com/berita/d-8442828/jaksa-agung-copot-kajari-karo-danke-rajagukguk-buntut-kasus-amsal-sitepu,2026-04-13 19:04:51
7,Anwar Usman Ungkap Suka dan Duka Selama Jadi Hakim MK,-,https://news.detik.com/berita/d-8442924/anwar-usman-ungkap-suka-dan-duka-selama-jadi-hakim-mk,2026-04-13 19:04:51
8,KPK Siap Hormati Putusan Jelang Praperadilan Lawan Sekjen DPR,-,https://news.detik.com/berita/d-8442887/kpk-siap-hormati-putusan-jelang-praperadilan-lawan-sekjen-dpr,2026-04-13 19:04:51
9,KPK Sita USD 1 Juta yang Akan Dipakai Yaqut untuk 'Kondisikan' Pansus Haji,-,https://news.detik.com/berita/d-8442914/kpk-sita-usd-1-juta-yang-akan-dipakai-yaqut-untuk-kondisikan-pansus-haji,2026-04-13 19:04:52
10,Piala AFF U-17 2026: Timnas Unggul 4-0 atas Timor Leste,-,https://sport.detik.com/sepakbola/liga-indonesia/d-8442730/piala-aff-u-17-2026-timnas-unggul-4-0-atas-timor-leste,2026-04-13 19:04:52
11,"Pemotretan Maternity Alyssa Daguise Jelang Lahiran, Perut Glowing Curi Atensi",-,https://wolipop.detik.com/foto-entertainment/d-8442508/pemotretan-maternity-alyssa-daguise-jelang-lahiran-perut-glowing-curi-atensi,2026-04-13 19:04:52
12,"Harga RAM Mulai Menurun, Tapi Masih Mahal",-,https://inet.detik.com/consumer/d-8442684/harga-ram-mulai-menurun-tapi-masih-mahal,2026-04-13 19:04:52
13,Penampakan Ular Terpanjang Sejagat yang Ditemukan di Sulawesi,-,https://inet.detik.com/science/d-8442591/penampakan-ular-terpanjang-sejagat-yang-ditemukan-di-sulawesi,2026-04-13 19:04:52
14,"Asosiasi Dosen Gugat Standar Gaji Dosen ke MK, Usulkan Minimal 2 Kali UMR",-,https://www.detik.com/edu/edutainment/d-8442821/asosiasi-dosen-gugat-standar-gaji-dosen-ke-mk-usulkan-minimal-2-kali-umr,2026-04-13 19:04:52
15,So Sweet! Rizky Ridho dan Istri Pamer Momen Makan Malam,-,https://food.detik.com/foto-kuliner/d-8442121/romantisnya-rizky-ridho-dan-istri-saat-makan-malam,2026-04-13 19:04:52
16,"Tak Tampil di Pelaminan, Gaya Tamara Bleszynski Curi Atensi di Nikahan Rassya",-,https://wolipop.detik.com/entertainment-news/d-8442504/tak-tampil-di-pelaminan-gaya-tamara-bleszynski-curi-atensi-di-nikahan-rassya,2026-04-13 19:04:52
17,Hamparan Bluebells Warnai Hutan Inggris Saat Musim Semi,-,https://travel.detik.com/fototravel/d-8441951/hamparan-bluebells-warnai-hutan-inggris-saat-musim-semi,2026-04-13 19:04:52
18,Potret Jerome Polin Mukbang Sushi Bareng Haruka hingga Makan Bersama Keluarga,-,https://food.detik.com/foto-kuliner/d-8442721/potret-jerome-polin-mukbang-sushi-bareng-haruka-hingga-makan-bersama-keluarga,2026-04-13 19:04:53
19,BEM UI Kawal Kasus Dugaan Pelecehan Seksual Grup Chat Mahasiswa FH,-,https://www.detik.com/edu/perguruan-tinggi/d-8442704/bem-ui-kawal-kasus-dugaan-pelecehan-seksual-grup-chat-mahasiswa-fh,2026-04-13 19:04:53
20,"Hindari Nomor Kursi Ini di Pesawat, Pokoknya Jangan Duduk di Sini!",-,https://travel.detik.com/travel-news/d-8442401/hindari-nomor-kursi-ini-di-pesawat-pokoknya-jangan-duduk-di-sini,2026-04-13 19:04:53
